ID,Brand,CPU,GPU,RAM,Storage,Screen,Operating_System,Price_USD
2331,Acer,Intel Core i7-14700K,AMD Radeon RX 7800 XT,16GB DDR4,512GB SSD,"14"" 4K",macOS Sonoma,4016.57
2332,Samsung,AMD Ryzen 9 7950X,NVIDIA RTX 4080,32GB DDR4,512GB SSD,"15.6"" FHD",Windows 10 Pro,4932.31
2333,Asus,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",macOS Sonoma,3921.39
2334,MSI,Intel Core i7-14700K,NVIDIA RTX 4080,128GB DDR5,1TB SSD,"17.3"" QHD",macOS Sonoma,3587.44
2335,Razer,Intel Core i9-14900K,AMD Radeon RX 7800 XT,16GB DDR4,1TB SSD,"14"" 4K",macOS Sonoma,1310.3
2336,Dell,Intel Core i7-14700K,Intel Arc A770,128GB DDR5,1TB SSD,"17.3"" QHD",Windows 11,4318.48
2337,Lenovo,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,64GB DDR5,2TB SSD,"13.3"" Retina",Windows 11,2897.67
2338,Dell,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,16GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,2912.71
2339,Lenovo,Intel Core i9-14900K,NVIDIA RTX 4080,64GB DDR5,512GB SSD,"17.3"" QHD",Windows 11,2832.18
2340,Razer,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 10 Pro,4278.39
2341,MSI,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,128GB DDR5,2TB SSD,"17.3"" QHD",Windows 10 Pro,1526.79
2342,MSI,AMD Ryzen 9 7950X,NVIDIA RTX 4090,64GB DDR5,1TB SSD,"13.3"" Retina",Windows 10 Pro,2115.99
2343,HP,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 11,4984.18
2344,Microsoft,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",macOS Sonoma,1685.49
2345,HP,AMD Ryzen 5 7600X,NVIDIA RTX 4080,32GB DDR4,2TB SSD,"14"" 4K",Ubuntu 22.04,2927.24
2346,MSI,Intel Core i9-14900K,AMD Radeon RX 7800 XT,128GB DDR5,2TB SSD,"15.6"" FHD",Windows 10 Pro,2113.65
2347,Apple,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,32GB DDR4,2TB SSD,"14"" 4K",Ubuntu 22.04,2382.88
2348,Microsoft,Intel Core i5-14600K,Intel Arc A770,32GB DDR4,2TB SSD,"17.3"" QHD",Ubuntu 22.04,4841.59
2349,HP,AMD Ryzen 9 7950X,NVIDIA RTX 4080,128GB DDR5,1TB SSD,"15.6"" FHD",macOS Sonoma,3772.26
2350,Apple,Intel Core i5-14600K,AMD Radeon RX 7800 XT,16GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 11,2246.79
2351,Lenovo,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,16GB DDR4,512GB SSD,"13.3"" Retina",Ubuntu 22.04,1661.24
2352,MSI,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,32GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,1334.97
2353,HP,Intel Core i9-14900K,Intel Arc A770,16GB DDR4,2TB SSD,"15.6"" FHD",macOS Sonoma,1949.71
2354,Apple,AMD Ryzen 5 7600X,Intel Arc A770,128GB DDR5,512GB SSD,"17.3"" QHD",Windows 10 Pro,3444.62
2355,Samsung,AMD Ryzen 9 7950X,NVIDIA RTX 4080,64GB DDR5,1TB SSD,"15.6"" FHD",Windows 10 Pro,3572.84
2356,Razer,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,32GB DDR4,2TB SSD,"15.6"" FHD",Ubuntu 22.04,4270.18
2357,Samsung,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,2637.94
2358,Lenovo,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD,"14"" 4K",Windows 10 Pro,789.37
2359,Lenovo,Intel Core i9-14900K,AMD Radeon RX 7800 XT,32GB DDR4,512GB SSD,"17.3"" QHD",Windows 10 Pro,2819.79
2360,MSI,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD,"14"" 4K",macOS Sonoma,2283.79
2361,MSI,Intel Core i5-14600K,NVIDIA RTX 4090,32GB DDR4,512GB SSD,"17.3"" QHD",Ubuntu 22.04,4591.21
2362,Apple,Intel Core i7-14700K,NVIDIA RTX 4080,64GB DDR5,2TB SSD,"14"" 4K",Windows 11,4233.5
2363,Razer,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,16GB DDR4,2TB SSD,"15.6"" FHD",macOS Sonoma,4365.67
2364,Acer,AMD Ryzen 9 7950X,Intel Arc A770,32GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 11,2690.36
2365,Samsung,Intel Core i7-14700K,NVIDIA RTX 4080,64GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,4700.3
2366,Microsoft,Intel Core i7-14700K,NVIDIA RTX 4090,128GB DDR5,1TB SSD,"13.3"" Retina",macOS Sonoma,1322.89
2367,MSI,AMD Ryzen 9 7950X,NVIDIA RTX 4090,64GB DDR5,2TB SSD,"15.6"" FHD",Windows 10 Pro,2922.34
2368,Microsoft,AMD Ryzen 5 7600X,NVIDIA RTX 4090,16GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",macOS Sonoma,2202.52
2369,Asus,AMD Ryzen 9 7950X,NVIDIA RTX 4080,128GB DDR5,2TB SSD,"17.3"" QHD",Windows 10 Pro,1514.38
2370,Lenovo,Intel Core i7-14700K,NVIDIA RTX 4080,32GB DDR4,512GB SSD,"14"" 4K",Windows 11,2867.46
2371,MSI,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD,"17.3"" QHD",Windows 10 Pro,3035.77
2372,MSI,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,16GB DDR4,512GB SSD,"15.6"" FHD",macOS Sonoma,2672.3
2373,MSI,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,128GB DDR5,2TB SSD,"15.6"" FHD",Windows 10 Pro,4050.4
2374,Samsung,AMD Ryzen 5 7600X,Intel Arc A770,128GB DDR5,512GB SSD,"14"" 4K",macOS Sonoma,1632.28
2375,HP,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,32GB DDR4,2TB SSD,"13.3"" Retina",Windows 10 Pro,4712.91
2376,Dell,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD,"14"" 4K",macOS Sonoma,3449.92
2377,Microsoft,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD,"13.3"" Retina",Windows 11,2756.26
2378,Acer,AMD Ryzen 7 7800X,Intel Arc A770,64GB DDR5,2TB SSD,"15.6"" FHD",Windows 10 Pro,4760.35
2379,MSI,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,32GB DDR4,512GB SSD,"13.3"" Retina",Windows 10 Pro,3155.44
2380,Dell,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,32GB DDR4,512GB SSD,"15.6"" FHD",Windows 10 Pro,4163.43
2381,Dell,Intel Core i9-14900K,Intel Arc A770,128GB DDR5,2TB SSD,"13.3"" Retina",macOS Sonoma,2573.75
2382,Samsung,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,16GB DDR4,2TB SSD,"15.6"" FHD",Windows 10 Pro,2344.88
2383,Apple,Intel Core i5-14600K,NVIDIA RTX 4080,32GB DDR4,2TB SSD,"15.6"" FHD",Windows 11,2438.95
2384,Razer,AMD Ryzen 7 7800X,NVIDIA RTX 4080,16GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 11,3324.36
2385,Acer,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,32GB DDR4,2TB SSD,"13.3"" Retina",Windows 11,4384.66
2386,Dell,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,16GB DDR4,512GB SSD,"17.3"" QHD",macOS Sonoma,1585.67
2387,Samsung,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,128GB DDR5,1TB SSD,"17.3"" QHD",Ubuntu 22.04,2271.53
2388,Samsung,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,64GB DDR5,512GB SSD,"15.6"" FHD",Ubuntu 22.04,1101.05
2389,Dell,AMD Ryzen 7 7800X,NVIDIA RTX 4090,64GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 11,4140.55
2390,Lenovo,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,32GB DDR4,2TB SSD,"15.6"" FHD",Windows 11,1222.99
2391,HP,Intel Core i5-14600K,AMD Radeon RX 7800 XT,32GB DDR4,2TB SSD,"17.3"" QHD",Ubuntu 22.04,2417.2
2392,MSI,AMD Ryzen 7 7800X,NVIDIA RTX 4080,32GB DDR4,1TB SSD,"13.3"" Retina",Ubuntu 22.04,4117.1
2393,Acer,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 10 Pro,3547.99
2394,MSI,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,16GB DDR4,512GB SSD,"13.3"" Retina",Windows 11,2187.85
2395,MSI,Intel Core i9-14900K,Intel Arc A770,16GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 11,1620.36
2396,HP,AMD Ryzen 7 7800X,Intel Arc A770,16GB DDR4,2TB SSD,"17.3"" QHD",Windows 11,4394.76
2397,Apple,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,128GB DDR5,1TB SSD,"14"" 4K",macOS Sonoma,4392.38
2398,Samsung,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,64GB DDR5,512GB SSD,"17.3"" QHD",Windows 11,1642.18
2399,Lenovo,AMD Ryzen 9 7950X,Intel Arc A770,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,1971.37
2400,Apple,AMD Ryzen 5 7600X,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"14"" 4K",Windows 11,4496.14
2401,Asus,Intel Core i5-14600K,NVIDIA RTX 4090,64GB DDR5,1TB SSD,"15.6"" FHD",Windows 11,4134.5
2402,Apple,Intel Core i7-14700K,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"13.3"" Retina",Windows 11,3542.93
2403,Lenovo,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,64GB DDR5,512GB SSD,"13.3"" Retina",Windows 10 Pro,2572.97
2404,Microsoft,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,128GB DDR5,2TB SSD,"17.3"" QHD",Windows 11,702.4
2405,MSI,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,64GB DDR5,2TB SSD,"15.6"" FHD",Windows 11,1504.21
2406,MSI,AMD Ryzen 7 7800X,Intel Arc A770,128GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,3144.08
2407,Apple,Intel Core i5-14600K,NVIDIA RTX 4090,64GB DDR5,2TB SSD,"17.3"" QHD",macOS Sonoma,2198.97
2408,Razer,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,128GB DDR5,512GB SSD,"15.6"" FHD",Windows 11,4175.12
2409,Microsoft,Intel Core i5-14600K,Intel Arc A770,16GB DDR4,1TB SSD,"13.3"" Retina",Ubuntu 22.04,2999.52
2410,Samsung,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,32GB DDR4,2TB SSD,"15.6"" FHD",Windows 10 Pro,3468.55
2411,Microsoft,Intel Core i9-14900K,AMD Radeon RX 7800 XT,64GB DDR5,512GB SSD,"14"" 4K",Windows 11,1307.03
2412,Asus,AMD Ryzen 9 7950X,NVIDIA RTX 4080,64GB DDR5,1TB SSD,"13.3"" Retina",Windows 11,2492.93
2413,HP,Intel Core i7-14700K,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD,"15.6"" FHD",Windows 11,3308.79
2414,Asus,Intel Core i5-14600K,Intel Arc A770,128GB DDR5,1TB SSD,"14"" 4K",macOS Sonoma,2375.81
2415,Apple,Intel Core i5-14600K,AMD Radeon RX 7800 XT,64GB DDR5,2TB SSD,"14"" 4K",macOS Sonoma,4967.69
2416,Lenovo,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,128GB DDR5,2TB SSD,"17.3"" QHD",macOS Sonoma,3162.83
2417,Apple,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,64GB DDR5,1TB SSD,"17.3"" QHD",Ubuntu 22.04,3360.94
2418,Apple,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,128GB DDR5,1TB SSD,"14"" 4K",Windows 11,2654.01
2419,Acer,AMD Ryzen 7 7800X,NVIDIA RTX 4090,16GB DDR4,512GB SSD,"15.6"" FHD",Windows 10 Pro,2884.24
2420,Microsoft,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,64GB DDR5,512GB SSD,"17.3"" QHD",Ubuntu 22.04,4158.62
2421,HP,Intel Core i9-14900K,AMD Radeon RX 7800 XT,32GB DDR4,512GB SSD,"13.3"" Retina",Windows 10 Pro,2356.88
2422,Microsoft,AMD Ryzen 7 7800X,NVIDIA RTX 4080,32GB DDR4,2TB SSD,"15.6"" FHD",Ubuntu 22.04,3915.19
2423,Razer,AMD Ryzen 7 7800X,NVIDIA RTX 4090,32GB DDR4,512GB SSD,"17.3"" QHD",Windows 11,2672.54
2424,HP,AMD Ryzen 7 7800X,NVIDIA RTX 4080,128GB DDR5,2TB SSD,"15.6"" FHD",Windows 10 Pro,4868.56
2425,Apple,AMD Ryzen 7 7800X,NVIDIA RTX 4090,32GB DDR4,512GB SSD,"15.6"" FHD",Windows 10 Pro,2063.48
2426,MSI,AMD Ryzen 9 7950X,NVIDIA RTX 4080,64GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 10 Pro,1012.85
2427,MSI,Intel Core i5-14600K,NVIDIA RTX 4090,128GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",macOS Sonoma,2079.49
2428,HP,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,128GB DDR5,2TB SSD,"13.3"" Retina",macOS Sonoma,1670.85
2429,MSI,Intel Core i5-14600K,Intel Arc A770,128GB DDR5,512GB SSD,"15.6"" FHD",Ubuntu 22.04,2409.17
2430,Asus,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD,"14"" 4K",Ubuntu 22.04,2890.45
2431,MSI,AMD Ryzen 9 7950X,NVIDIA RTX 4090,128GB DDR5,2TB SSD,"15.6"" FHD",Windows 11,1429.24
2432,HP,AMD Ryzen 9 7950X,NVIDIA RTX 4080,64GB DDR5,512GB SSD,"13.3"" Retina",Windows 11,1685.16
2433,Razer,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,128GB DDR5,2TB SSD,"13.3"" Retina",macOS Sonoma,4452.2
2434,Apple,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD,"14"" 4K",macOS Sonoma,2550.06
2435,MSI,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Windows 11,1226.93
2436,Apple,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,16GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,2879.98
2437,HP,AMD Ryzen 9 7950X,NVIDIA RTX 4080,16GB DDR4,1TB SSD,"17.3"" QHD",Windows 10 Pro,1923.96
2438,Razer,AMD Ryzen 5 7600X,NVIDIA RTX 4080,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,2527.11
2439,Samsung,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,16GB DDR4,1TB SSD,"13.3"" Retina",Windows 10 Pro,2832.12
2440,HP,Intel Core i7-14700K,NVIDIA RTX 4080,32GB DDR4,512GB SSD,"17.3"" QHD",Windows 11,3939.71
2441,HP,Intel Core i5-14600K,NVIDIA RTX 4090,32GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",macOS Sonoma,1306.92
2442,Microsoft,AMD Ryzen 5 7600X,NVIDIA RTX 4090,16GB DDR4,2TB SSD,"17.3"" QHD",Windows 10 Pro,2547.12
2443,Apple,AMD Ryzen 7 7800X,NVIDIA RTX 4080,64GB DDR5,1TB SSD,"17.3"" QHD",Windows 10 Pro,3794.65
2444,Dell,Intel Core i5-14600K,NVIDIA RTX 4090,64GB DDR5,2TB SSD,"14"" 4K",macOS Sonoma,3547.82
2445,Asus,AMD Ryzen 5 7600X,NVIDIA RTX 4090,32GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Windows 11,853.72
2446,MSI,Intel Core i7-14700K,NVIDIA RTX 4080,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Ubuntu 22.04,3934.71
2447,MSI,Intel Core i9-14900K,NVIDIA RTX 4090,32GB DDR4,2TB SSD,"13.3"" Retina",Windows 11,3015.76
2448,Apple,AMD Ryzen 5 7600X,NVIDIA RTX 4090,32GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 11,3564.69
2449,Apple,AMD Ryzen 7 7800X,NVIDIA RTX 4090,64GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",macOS Sonoma,1509.16
2450,Samsung,Intel Core i7-14700K,NVIDIA RTX 4090,64GB DDR5,1TB SSD,"15.6"" FHD",macOS Sonoma,4232.54
2451,HP,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,64GB DDR5,2TB SSD,"14"" 4K",Windows 10 Pro,2090.97
2452,Razer,Intel Core i5-14600K,NVIDIA RTX 4090,32GB DDR4,2TB SSD,"13.3"" Retina",Windows 10 Pro,4084.21
2453,Asus,AMD Ryzen 7 7800X,NVIDIA RTX 4080,128GB DDR5,2TB SSD,"14"" 4K",macOS Sonoma,3679.54
2454,Microsoft,Intel Core i7-14700K,NVIDIA RTX 4080,16GB DDR4,2TB SSD,"17.3"" QHD",Windows 10 Pro,4597.13
2455,Samsung,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,32GB DDR4,512GB SSD,"17.3"" QHD",macOS Sonoma,2233.41
2456,Apple,Intel Core i9-14900K,NVIDIA RTX 4090,16GB DDR4,1TB SSD,"17.3"" QHD",Windows 11,2513.82
2457,MSI,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD,"14"" 4K",Ubuntu 22.04,4891.71
2458,MSI,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,32GB DDR4,1TB SSD,"15.6"" FHD",Ubuntu 22.04,3085.98
2459,MSI,Intel Core i9-14900K,AMD Radeon RX 7800 XT,16GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,2260.35
2460,Acer,Intel Core i5-14600K,NVIDIA RTX 4080,32GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,848.48
2461,Microsoft,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD,"17.3"" QHD",Windows 11,4342.69
2462,Lenovo,Intel Core i9-14900K,NVIDIA RTX 4090,32GB DDR4,1TB SSD,"13.3"" Retina",Windows 10 Pro,2142.93
2463,Asus,Intel Core i5-14600K,AMD Radeon RX 7800 XT,64GB DDR5,512GB SSD,"17.3"" QHD",macOS Sonoma,2844.66
2464,MSI,Intel Core i7-14700K,Intel Arc A770,16GB DDR4,1TB SSD,"14"" 4K",Ubuntu 22.04,3113.31
2465,Acer,Intel Core i7-14700K,Intel Arc A770,16GB DDR4,1TB SSD,"15.6"" FHD",Windows 10 Pro,3100.72
2466,MSI,Intel Core i7-14700K,NVIDIA RTX 4090,64GB DDR5,1TB SSD,"13.3"" Retina",Windows 11,4275.63
2467,Asus,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,1623.86
2468,Razer,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,32GB DDR4,2TB SSD,"15.6"" FHD",Windows 11,2340.37
2469,Microsoft,Intel Core i7-14700K,AMD Radeon RX 7800 XT,16GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 11,1884.12
2470,Microsoft,Intel Core i7-14700K,AMD Radeon RX 7800 XT,64GB DDR5,2TB SSD,"17.3"" QHD",Windows 10 Pro,4780.67
2471,Apple,Intel Core i7-14700K,Intel Arc A770,128GB DDR5,2TB SSD,"17.3"" QHD",Windows 10 Pro,1296.38
2472,MSI,Intel Core i7-14700K,Intel Arc A770,32GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 10 Pro,1941.07
2473,HP,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,128GB DDR5,2TB SSD,"14"" 4K",Windows 11,2400.47
2474,Samsung,Intel Core i7-14700K,NVIDIA RTX 4080,32GB DDR4,1TB SSD,"13.3"" Retina",macOS Sonoma,2228.54
2475,Dell,Intel Core i7-14700K,NVIDIA RTX 4080,64GB DDR5,2TB SSD,"15.6"" FHD",Ubuntu 22.04,2774.64
2476,HP,Intel Core i9-14900K,NVIDIA RTX 4090,32GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 10 Pro,4806.66
2477,MSI,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,16GB DDR4,2TB SSD,"13.3"" Retina",Ubuntu 22.04,4149.92
2478,Lenovo,Intel Core i5-14600K,AMD Radeon RX 7800 XT,128GB DDR5,512GB SSD,"14"" 4K",macOS Sonoma,897.1
2479,Acer,AMD Ryzen 7 7800X,Intel Arc A770,128GB DDR5,2TB SSD,"17.3"" QHD",macOS Sonoma,4673.6
2480,Samsung,Intel Core i9-14900K,NVIDIA RTX 4090,32GB DDR4,1TB SSD,"17.3"" QHD",Ubuntu 22.04,2129.83
2481,Lenovo,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD,"15.6"" FHD",Ubuntu 22.04,3035.92
2482,HP,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,4862.7
2483,MSI,AMD Ryzen 9 7950X,Intel Arc A770,16GB DDR4,2TB SSD,"15.6"" FHD",macOS Sonoma,1567.33
2484,Samsung,AMD Ryzen 7 7800X,NVIDIA RTX 4090,16GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,2114.27
2485,Asus,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,32GB DDR4,2TB SSD,"14"" 4K",Ubuntu 22.04,2027.05
2486,Lenovo,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,32GB DDR4,2TB SSD,"14"" 4K",Windows 10 Pro,1649.74
2487,Microsoft,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD,"15.6"" FHD",Windows 11,1036.02
2488,Acer,Intel Core i5-14600K,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 10 Pro,921.02
2489,Microsoft,Intel Core i9-14900K,AMD Radeon RX 7800 XT,128GB DDR5,512GB SSD,"13.3"" Retina",Windows 11,4350.22
2490,Dell,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,2470.72
2491,MSI,Intel Core i9-14900K,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",Windows 11,2075.54
2492,Samsung,AMD Ryzen 7 7800X,Intel Arc A770,16GB DDR4,1TB SSD,"13.3"" Retina",macOS Sonoma,4051.66
2493,MSI,AMD Ryzen 5 7600X,NVIDIA RTX 4080,32GB DDR4,512GB SSD,"13.3"" Retina",macOS Sonoma,2921.02
2494,Apple,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,32GB DDR4,2TB SSD,"13.3"" Retina",Windows 11,3335.97
2495,MSI,AMD Ryzen 9 7950X,NVIDIA RTX 4090,128GB DDR5,1TB SSD,"17.3"" QHD",Ubuntu 22.04,834.01
2496,Apple,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 10 Pro,1978.97
2497,Apple,AMD Ryzen 7 7800X,NVIDIA RTX 4090,128GB DDR5,1TB SSD,"14"" 4K",macOS Sonoma,3305.28
2498,Apple,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD,"14"" 4K",Windows 10 Pro,4685.71
2499,HP,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,32GB DDR4,512GB SSD,"14"" 4K",Windows 11,2361.56
2500,Dell,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Ubuntu 22.04,1937.47
2501,Dell,AMD Ryzen 5 7600X,NVIDIA RTX 4090,32GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 10 Pro,1709.17
2502,MSI,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Ubuntu 22.04,4828.8
2503,Razer,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",Windows 11,2038.93
2504,Lenovo,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,32GB DDR4,2TB SSD,"17.3"" QHD",Windows 11,4318.31
2505,Acer,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,64GB DDR5,512GB SSD,"15.6"" FHD",macOS Sonoma,756.95
2506,Apple,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,4076.78
2507,HP,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,128GB DDR5,2TB SSD,"13.3"" Retina",macOS Sonoma,3338.57
2508,Dell,Intel Core i5-14600K,NVIDIA RTX 4090,32GB DDR4,512GB SSD,"15.6"" FHD",Ubuntu 22.04,4211.08
2509,Razer,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,64GB DDR5,2TB SSD,"17.3"" QHD",Windows 10 Pro,2112.18
2510,HP,Intel Core i9-14900K,Intel Arc A770,32GB DDR4,2TB SSD,"17.3"" QHD",macOS Sonoma,3610.73
2511,Samsung,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,16GB DDR4,512GB SSD,"14"" 4K",Windows 10 Pro,2454.85
2512,Acer,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",macOS Sonoma,2647.25
2513,Razer,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",Ubuntu 22.04,3736.14
2514,Acer,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,16GB DDR4,2TB SSD,"15.6"" FHD",macOS Sonoma,1154.87
